'model','brand','line','plant','quote_reference','remarks','meta_series_series'
H18XD6,Hyster,#8,Nijmegen,'2023-972067','Yale serial unable to create quote in NOVO System, PB still active','007'
G18DPE_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H18XD9,Hyster,#4,Nijmegen,'2023-977613','','236'
GDP8F9_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H8XD6,Hyster,#1,Nijmegen,'2023-977088','Yale serial unable to create quote in NOVO System, PB still active','007'
GDP80F_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H9XD6,Hyster,#2,Nijmegen,'2023-977088','Yale serial unable to create quote in NOVO System, PB still active','007'
GDP90F_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H9XDL6,Hyster,#1,Nijmegen,'2023-977088','Yale serial unable to create quote in NOVO System, PB still active','007'
G90DPF_K876,Yale,'',Nijmegen,'','Yale serial unable to create quote in NOVO System, PB still active','876'
H9XM-EC7,Hyster,#1,Maximal,'2023-977088','','3C0'
H9XM-EC8,Hyster,#2,Maximal,'2023-977088','','3C0'
RS 45-27 CH,Hyster,#5,Maximal,'2023-977612','','921'
RS 45-31 CH,Hyster,#6,Maximal,'2023-977612','','921'
H18XDS9,Hyster,#1,Nijmegen,'2023-977613','','236'
H20XD9,Hyster,#2,Nijmegen,'2023-977093','','236'
H20XDS9,Hyster,#3,Nijmegen,'2023-977093','','236'
H36XDS12,Hyster,#1,Nijmegen,'2023-977093','','917'
H40XD12,Hyster,#5,Nijmegen,'2023-977093','','917'
H40XDS12,Hyster,#2,Nijmegen,'2023-977093','','917'
H44XD12,Hyster,#6,Nijmegen,'2023-977093','','917'
H44XDS12,Hyster,#3,Nijmegen,'2023-977093','','917'
H48XD12,Hyster,#7,Nijmegen,'2023-977093','','917'
H48XDS12,Hyster,#4,Nijmegen,'2023-977116','','917'
H10XD-ECD8,Hyster,#7,Nijmegen,'2023-977116','','214'
H11XD-ECD8,Hyster,#8,Nijmegen,'2023-977116','','214'
H11XD-ECD9,Hyster,#9,Nijmegen,'2023-977116','','214'
H8XD-EC6,Hyster,#1,Nijmegen,'2023-977116','','214'
H8XD-EC7,Hyster,#2,Nijmegen,'2023-977116','','214'
H9XD-EC7,Hyster,#3,Nijmegen,'2023-977116','','214'
H9XD-EC8,Hyster,#4,Nijmegen,'2023-977116','','214'
H9XD-ECD7,Hyster,#5,Nijmegen,'2023-977116','','214'
H9XD-ECD8,Hyster,#6,Nijmegen,'2023-977116','','214'
RS46-29XD/62,Hyster,#1,Nijmegen,'2023-977617','','222'
RS46-33XD/62,Hyster,#2,Nijmegen,'2023-977617','','222'
RS46-36XD/62,Hyster,#3,Nijmegen,'2023-977617','','222'
RS46-41XD/62S,Hyster,#4,Nijmegen,'2023-977617','','222'
RS46-41XD/67,Hyster,#5,Nijmegen,'2023-977617','','222'
RS46-41XD/67S,Hyster,#6,Nijmegen,'2023-977617','','222'
RS46-41XD/75S,Hyster,#7,Nijmegen,'2023-978258','','222'
H25XD12,Hyster,#1,Nijmegen,'2023-978258','','008'
H25XD9,Hyster,#5,Nijmegen,'2023-978258','','008'
H28XD-16CH,Hyster,#8,Nijmegen,'2023-978258','','008'
H28XD12,Hyster,#2,Nijmegen,'2023-978258','','008'
H30XD12,Hyster,#3,Nijmegen,'2023-978258','','008'
H30XD9,Hyster,#6,Nijmegen,'2023-978260','','008'
H32XD-16CH,Hyster,#9,Nijmegen,'2023-978260','','008'
H32XD12,Hyster,#4,Nijmegen,'2023-978260','','008'
H32XD9,Hyster,#7,Nijmegen,'2023-978260','','008'
H40XD-CH,Hyster,#5,Nijmegen,'2023-978260','','117'
H44XD-CH,Hyster,#6,Nijmegen,'2023-978261','','117'
H48XD-CH,Hyster,#7,Nijmegen,'','','117'
H50XD-CH,Hyster,#8,Nijmegen,'','','117'
H52XD-CH,Hyster,#9,Nijmegen,no offer,'','117'
H6XD-EC3,Hyster,#11,Nijmegen,,'','007'
H7XD-EC4,Hyster,#12,Nijmegen,,'','007'
