'order_no','aopmargin_percentage','series','bill_to','comment','ctry_code','currency','date','dealer_name','dealer_net','dealer_net_after_sur_charge','dealerpo','margin_after_sur_charge','margin_percentage_after_sur_charge','model','order_type','quantity','region','total_cost','truck_class','product_dimension'
H14504,0.0,A3C1,'006065','',TH,,2023-03-22,'DILOK AND SONS CO.,LTD.',28823.800000000007,28823.800000000007,TH2023/8497,6139.469400000001,0.213,H3.0UT,R,1,1,22684.330600000005,'5',258
H14503,0.0,A3C1,'006065','',TH,,2023-03-22,'DILOK AND SONS CO.,LTD.',13272.300000000001,13272.300000000001,TH2023/8496,2667.7323000000006,0.201,H3.0UT,R,1,1,10604.5677,'5',258
H14502,0.0,A3C1,'006065','',TH,,2023-03-22,'DILOK AND SONS CO.,LTD.',13272.300000000001,13272.300000000001,TH2023/8495,2667.7323000000006,0.201,H3.0UT,R,1,1,10604.5677,'5',258
H14501,0.0,A3C1,'006065','',TH,,2023-03-22,'DILOK AND SONS CO.,LTD.',13272.300000000001,13272.300000000001,TH2023/8494,2667.7323000000006,0.201,H3.0UT,R,1,1,10604.5677,'5',258
H14500,0.0,A3C1,'006065','',TH,,2023-03-22,'DILOK AND SONS CO.,LTD.',13272.300000000001,13272.300000000001,TH2023/8493,2667.7323000000006,0.201,H3.0UT,R,1,1,10604.5677,'5',258
H14499,0.0,A3C1,'006065','',TH,,2023-03-22,'DILOK AND SONS CO.,LTD.',13272.300000000001,13272.300000000001,TH2023/8492,2667.7323000000006,0.201,H3.0UT,R,1,1,10604.5677,'5',258
H14498,0.0,A3C1,'006065','',TH,,2023-03-22,'DILOK AND SONS CO.,LTD.',13272.300000000001,13272.300000000001,TH2023/8491,2667.7323000000006,0.201,H3.0UT,R,1,1,10604.5677,'5',258
H14497,0.0,A3C1,'006065','',TH,,2023-03-22,'DILOK AND SONS CO.,LTD.',13272.300000000001,13272.300000000001,TH2023/8490,2667.7323000000006,0.201,H3.0UT,R,1,1,10604.5677,'5',258
H14496,0.0,A3C1,'006065','',TH,,2023-03-22,'DILOK AND SONS CO.,LTD.',13272.300000000001,13272.300000000001,TH2023/8489,2667.7323000000006,0.201,H3.0UT,R,1,1,10604.5677,'5',258
H14334,0.0,A7S4,'017005','',VN,,2023-03-22,'KY LUC CO., LTD',15121.600000000002,15121.600000000002,Y-U-01123-6,2404.3344,0.159,ERP25UX,R,1,1,12717.265600000002,'1',264
H14333,0.0,A7S4,'017005','',VN,,2023-03-22,'KY LUC CO., LTD',15121.600000000002,15121.600000000002,Y-U-01123-5,2404.3344,0.159,ERP25UX,R,1,1,12717.265600000002,'1',264
H14332,0.0,A7S4,'017005','',VN,,2023-03-22,'KY LUC CO., LTD',15121.600000000002,15121.600000000002,Y-U-01123-4,2404.3344,0.159,ERP25UX,R,1,1,12717.265600000002,'1',264
