'id','class_','costrmb','dealer','dealer_net','description','list_price','margin_aop','model_code','month_year','option_code','plant','price_list_region','std_opt','currency_currency'
7866,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Amber Strobe Light,0.0,0.0,GP25UX,2023-08-01,LASWKS,Maximal,Yale AP,Std,USD
7867,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Audible Reverse Alarm,0.0,0.0,GP25UX,2023-08-01,ALAAUR,Maximal,Yale AP,Std,USD
7868,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,Fees & Surcharges,0.0,0.0,GP25UX,2023-08-01,A7S1,Maximal,Yale AP,Std,USD
7869,Class 5 NOT BT,0.0,'PRESTAR MARKETING SDN BHD - SELANGOR DARUL EHSAN, ',0.0,English Literature Pack,0.0,0.0,GP25UX,2023-08-01,LITPEN,Maximal,Yale AP,Std,USD
7870,Class 5 NOT BT,69761.99,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',11012.625,H3.0UT,18825.0,-97.21607446500093,H3.0UT,2023-08-01,MH30UT_A3C1,Maximal,Hyster AP,BM,USD
7871,Class 5 NOT BT,0.0,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',0.0,Yanmar 3.3L Diesel Engine (Non-CE),0.0,0.0,H3.0UT,2023-08-01,ENDY3B,Maximal,Hyster AP,Std,USD
7872,Class 5 NOT BT,0.0,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',0.0,Powershift 1 Speed Transmission,0.0,0.0,H3.0UT,2023-08-01,UTPS1T,Maximal,Hyster AP,Std,USD
7873,Class 5 NOT BT,0.0,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',0.0,Drum Brakes,0.0,0.0,H3.0UT,2023-08-01,DRAXDB,Maximal,Hyster AP,Std,USD
7874,Class 5 NOT BT,0.0,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',0.0,Key Switch Start,0.0,0.0,H3.0UT,2023-08-01,SSKEIA,Maximal,Hyster AP,Std,USD
7875,Class 5 NOT BT,1341.12666900912,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',288.75,Operator Presence System,375.0,75.17088401695611,H3.0UT,2023-08-01,OPPRSY,Maximal,Hyster AP,Std,USD
7876,Class 5 NOT BT,0.0,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',0.0,Counterweight Net,0.0,0.0,H3.0UT,2023-08-01,CTWTNT,Maximal,Hyster AP,Std,USD
7877,Class 5 NOT BT,104.511239904331,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',23.1,High Air Intake with Precleaner,30.0,6.4562192558956255,H3.0UT,2023-08-01,AIHWPC,Maximal,Hyster AP,Opt,USD
7878,Class 5 NOT BT,0.0,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',0.0,Horizontal Exhaust,0.0,0.0,H3.0UT,2023-08-01,EXCTWT,Maximal,Hyster AP,Std,USD
7879,Class 5 NOT BT,1004.25677523737,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',215.6,'3000mm 2 Stage Full Free Lift Mast (2075mm Lowered Height)',280.0,55.668593644735495,H3.0UT,2023-08-01,F2030F,Maximal,Hyster AP,Opt,USD
7880,Class 5 NOT BT,0.0,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',0.0,'1100mm Hook Type Carriage',0.0,0.0,H3.0UT,2023-08-01,HTC43U,Maximal,Hyster AP,Std,USD
7881,Class 5 NOT BT,46.7287946689655,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',7.7,'45 x 122 x 1220mm Hook Type Standard Tapered Forks',10.0,0.2582758981859037,H3.0UT,2023-08-01,SNF41A,Maximal,Hyster AP,Opt,USD
7882,Class 5 NOT BT,0.0,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',0.0,'6° Forward / 12° Back Mast Tilt',0.0,0.0,H3.0UT,2023-08-01,T6F12B,Maximal,Hyster AP,Std,USD
7883,Class 5 NOT BT,0.0,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',0.0,Manual lever hydraulic controls,0.0,0.0,H3.0UT,2023-08-01,MECYCC,Maximal,Hyster AP,Std,USD
7884,Class 5 NOT BT,355.282425158894,'TA YIH MATERIALS HANDLING - NEW TAIPEI CITY, ',77.0,'4 Function (2 Auxiliary) Hydraulic Valve',100.0,20.420030304958075,H3.0UT,2023-08-01,HCV4CB,Maximal,Hyster AP,Opt,USD
7885,Class 5 NOT BT,150566.1,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',50623.2,GP70UX6,70310.0,17628.37069515,GP70UX6,2023-08-01,GP70X6_A7T0,Maximal,Yale Aust,BM,AUD
7886,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,Fees & Surcharges,0.0,0.0,GP70UX6,2023-08-01,A7T0,Maximal,Yale Aust,'',AUD
7887,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,Mitsubishi 5.0L Diesel  S6S-T 63.9kw / 85.5hp,0.0,0.0,GP70UX6,2023-08-01,MT5DS6,Maximal,Yale Aust,'',AUD
7888,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,Electronic Powershift 2 Speed Transmission,0.0,0.0,GP70UX6,2023-08-01,UTPS2S,Maximal,Yale Aust,'',AUD
7889,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,Brakes - Self Energizing Drum ,0.0,0.0,GP70UX6,2023-08-01,DRAXDB,Maximal,Yale Aust,'',AUD
7890,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,Key Switch Start,0.0,0.0,GP70UX6,2023-08-01,SSKEIA,Maximal,Yale Aust,'',AUD
7891,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,Standard (14° F to 104° F) ,0.0,0.0,GP70UX6,2023-08-01,ST104F,Maximal,Yale Aust,'',AUD
7892,Class 5 NOT BT,173.26769835,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',64.0,Heavy Duty Air Intake with Precleaner ,80.0,26.030376485128528,GP70UX6,2023-08-01,AIHWPC,Maximal,Yale Aust,'',AUD
7893,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,Fuel Cap - Non Lockable,0.0,0.0,GP70UX6,2023-08-01,ACFCNL,Maximal,Yale Aust,'',AUD
7894,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',244.0,Overhead Exhaust ,305.0,24.400000000000002,GP70UX6,2023-08-01,EXOVHD,Maximal,Yale Aust,'',AUD
7895,Class 5 NOT BT,895.11732,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',296.0,Operator Presence System,370.0,99.84533317118002,GP70UX6,2023-08-01,OPPRSY,Maximal,Yale Aust,'',AUD
7896,Class 5 NOT BT,11599.228605,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',4272.0,'3 Stage Full Free Lift Mast 236" Maximum Lift Height, 131" Lowered Height',5340.0,1730.1624423432072,GP70UX6,2023-08-01,E23612,Maximal,Yale Aust,'',AUD
7897,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,'83" Hook Type Carriage',0.0,0.0,GP70UX6,2023-08-01,CAR83H,Maximal,Yale Aust,'',AUD
7898,Class 5 NOT BT,1330.5798,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',480.0,'96" Long Hook Type (2.8" x 6" ) Standard Tapered Forks ',600.0,188.41873849770002,GP70UX6,2023-08-01,FOH96S,Maximal,Yale Aust,'',AUD
7899,Class 5 NOT BT,-824.55627,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',-160.0,Without Load Backrest,-200.0,20.692024173394998,GP70UX6,2023-08-01,LBNONE,Maximal,Yale Aust,'',AUD
7900,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,Mast Tilt - 3° Forward / 6° Back,0.0,0.0,GP70UX6,2023-08-01,TI3F6B,Maximal,Yale Aust,'',AUD
7901,Class 5 NOT BT,63.504945,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,Mechanical Lever Hydraulic Controls - Cowl Mounted,0.0,-13.916378389882498,GP70UX6,2023-08-01,MECYCC,Maximal,Yale Aust,'',AUD
7902,Class 5 NOT BT,744.923085,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',144.0,'4 Function (2 Auxiliary) Hydraulic Control Valve',180.0,-19.241327462272494,GP70UX6,2023-08-01,HCV4CB,Maximal,Yale Aust,'',AUD
7903,Class 5 NOT BT,1857.771645,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',756.0,'2 Auxiliary Function Hose Group - 4 Hoses Internally Mounted',945.0,348.8907083721675,GP70UX6,2023-08-01,'2A3SFF',Maximal,Yale Aust,'',AUD
7904,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',700.0,'8.25-15NHS -Pneumatic Shaped Solid (PSS) -Dual Drive Tread  ',875.0,70.0,GP70UX6,2023-08-01,DTNHPS,Maximal,Yale Aust,'',AUD
7905,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',700.0,'8.25-15NHS -Pneumatic Shaped Solid (PSS) Steer Tire  ',875.0,70.0,GP70UX6,2023-08-01,STPSS8,Maximal,Yale Aust,'',AUD
7906,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,'96.5" Short Overhead Guard',0.0,0.0,GP70UX6,2023-08-01,OHGS96,Maximal,Yale Aust,'',AUD
7907,Class 5 NOT BT,0.0,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',0.0,Mirrors - Dual Side View - Mounted on the Left and Right Side of Overhead Guard,0.0,0.0,GP70UX6,2023-08-01,MIRDRV,Maximal,Yale Aust,'',AUD
7908,Class 5 NOT BT,66.52899,'DE LAGE LANDEN (SQMH) - SYDNEY, N2',136.0,Rear Drive Handle with Horn Button,170.0,121.420936924885,GP70UX6,2023-08-01,HNDLRD,Maximal,Yale Aust,'',AUD
