'order_no','aopmargin_percentage','booking_margin_percentage_after_sur_charge','ctry_code','date','dealer_name','dealer_net','dealer_net_after_sur_charge','margin_after_sur_charge','margin_percentage_after_sur_charge','model','netrevenue','quantity','serial_number','series','total_cost','currency','product_dimension','region'
F05009,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12134X,,3749.26,,,
F05007,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12132X,,3749.26,,,
F04997,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12122X,,3789.82,,,
F04999,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12124X,,3789.82,,,
F05005,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12130X,,3749.26,,,
F04996,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12121X,,3789.82,,,
F05008,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12133X,,3749.26,,,
F05002,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12127X,,3789.82,,,
F04998,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12123X,,3789.82,,,
F05001,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12126X,,3789.82,,,
F05004,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12129X,,3749.26,,,
F05003,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12128X,,3789.82,,,
F05000,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12125X,,3789.82,,,
F05006,0.0,0.0,KR,2023-05-30,Hyster Korea Inc.,0.0,0.0,0.0,0.0,W45ZHD,5516.9,1,A419C12131X,,3749.26,,,
E97972,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,J3.0XN,25356.07,1,A276B15892X,,23437.43,,,
E97975,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,J3.0XN,25356.07,1,A276B15921X,,23437.43,,,
F70701,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,R1.6 406,22324.5,1,A406A01573X,,20478.079999999998,,,
F70704,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,R1.6 406,22324.5,1,A406A01574X,,20478.079999999998,,,
F70705,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,R1.6 406,22324.5,1,A406A01575X,,20478.079999999998,,,
E34186,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,H28XD12,259989.72,1,J008E01639W,,255291.59,,,
F70710,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,R1.6 406,22324.5,1,A406A01576X,,20478.079999999998,,,
F70712,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,R1.6 406,22324.5,1,A406A01577X,,20478.079999999998,,,
E60767,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,H16XD12,175634.63,1,C238E01860X,,172165.02,,,
E60768,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,H16XD12,175634.63,1,C238E01861X,,167981.86000000002,,,
F70706,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,R1.6 406,22324.5,1,A406A01582X,,20478.079999999998,,,
F70707,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,R1.6 406,21501.61,1,A406A01586X,,19574.25,,,
F70709,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,R1.6 406,22324.5,1,A406A01584X,,20458.92,,,
F01159,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,0.0,H5.0FT,52504.59,1,U005B07772W,,39151.130000000005,,,
H03884,0.26361771964088454,0.266,AU,2023-05-31,ADAPT-A-LIFT GROUP,8985.599999999999,8985.599999999999,5070.739999999998,0.564318465099715,MP20KUX,5921.200000000001,1,A7R0H01602X,A7R0,3914.86,,251,2
H20506,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,239.7700000000001,0.31151097830323515,MPC15,769.7,1,A3D4M08786X,A3D4,529.93,,268,1
H20507,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,239.7700000000001,0.31151097830323515,MPC15,769.7,1,A3D4M08787X,A3D4,529.93,,268,1
H20508,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,239.7700000000001,0.31151097830323515,MPC15,769.7,1,A3D4M08788X,A3D4,529.93,,268,1
H20509,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,239.7700000000001,0.31151097830323515,MPC15,769.7,1,A3D4M08789X,A3D4,529.93,,268,1
E92710,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,-7.139999999999986,-Infinity,MPC15,697.2399999999999,-1,A3D4M05802W,,7.139999999999986,,,
E92711,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,-7.139999999999986,-Infinity,MPC15,697.2399999999999,-1,A3D4M05803W,,7.139999999999986,,,
