'id','date','rate','from_currency','to_currency'
3380,2023-09-01,14.26666667,CAD,MXN
3381,2023-09-01,20.98678862,CHF,MXN
3382,2023-09-01,1.85077971,SEK,MXN
3383,2023-09-01,1.957440758,NOK,MXN
3384,2023-09-01,1.134876104,ZAR,MXN
3385,2023-09-01,3.730917237,BRL,MXN
3386,2023-09-01,1.0,MXN,MXN
3387,2023-09-01,2.488252163,HKD,MXN
3388,2023-09-01,14.38091922,SGD,MXN
3389,2023-09-01,2.784992785,CNY,MXN
3390,2023-09-01,12.2289335,NZD,MXN
3391,2023-09-01,0.2340600366,INR,MXN
3392,2023-09-01,5.278710063,AED,MXN
3393,2023-09-01,51.55918408,BHD,MXN
3394,2023-09-01,5.169444431,SAR,MXN
3395,2023-09-01,0.2647721269,RUB,MXN
3396,2023-09-01,4.407427169,PLN,MXN
3397,2023-09-01,0.5599967459,THB,MXN
3398,2023-09-01,4.383942598,MYR,MXN
3399,2023-09-01,0.6304316767,TWD,MXN
3400,2023-09-01,0.853664586,CZK,MXN
3401,2023-09-01,4.172509244,RON,MXN
3402,2023-09-01,0.0152949977,KRW,MXN
3403,2023-09-01,0.05303974827,LKR,MXN
3404,2023-09-01,0.0008202769963,VND,MXN
3405,2023-09-01,8.2994,EUR,HKD
3406,2023-09-01,9.372663723,GBP,HKD
3407,2023-09-01,7.793595643,USD,HKD
3408,2023-09-01,0.05834786277,JPY,HKD
3409,2023-09-01,1.11603577,DKK,HKD
3410,2023-09-01,5.233242954,AUD,HKD
3411,2023-09-01,5.733609672,CAD,HKD
3412,2023-09-01,8.434349593,CHF,HKD
3413,2023-09-01,0.7438071339,SEK,HKD
3414,2023-09-01,0.7866729858,NOK,HKD
3415,2023-09-01,0.4560936873,ZAR,HKD
3416,2023-09-01,1.499412838,BRL,HKD
3417,2023-09-01,0.4018885284,MXN,HKD
3418,2023-09-01,1.0,HKD,HKD
3419,2023-09-01,5.779526462,SGD,HKD
3420,2023-09-01,1.119256652,CNY,HKD
3421,2023-09-01,4.914668088,NZD,HKD
3422,2023-09-01,0.09406604367,INR,HKD
3423,2023-09-01,2.121453019,AED,HKD
3424,2023-09-01,20.72104462,BHD,HKD
3425,2023-09-01,2.077540415,SAR,HKD
3426,2023-09-01,0.1064088804,RUB,HKD
3427,2023-09-01,1.771294419,PLN,HKD
3428,2023-09-01,0.2250562681,THB,HKD
3429,2023-09-01,1.761856239,MYR,HKD
3430,2023-09-01,0.2533632588,TWD,HKD
3431,2023-09-01,0.3430780042,CZK,HKD
3432,2023-09-01,1.6768836,RON,HKD
3433,2023-09-01,0.006146884119,KRW,HKD
3434,2023-09-01,0.02131606638,LKR,HKD
3435,2023-09-01,0.0003296599149,VND,HKD
3436,2023-09-01,1.436,EUR,SGD
3437,2023-09-01,1.621700979,GBP,SGD
3438,2023-09-01,1.348483426,USD,SGD
3439,2023-09-01,0.01009561305,JPY,SGD
3440,2023-09-01,0.1931015935,DKK,SGD
3441,2023-09-01,0.9054795384,AUD,SGD
3442,2023-09-01,0.9920552677,CAD,SGD
